feature,coef,abs_coef
IDCliente_6410-LEFEN,1.0,1.0
IDCliente_7054-LGEQW,1.0,1.0
IDCliente_2011-TRQYE,1.0,1.0
IDCliente_2003-CKLOR,1.0,1.0
IDCliente_2002-MZHWP,1.0,1.0
IDCliente_8938-UMKPI,1.0,1.0
IDCliente_5288-AHOUP,-1.0,1.0
IDCliente_8945-MUQUF,1.0,1.0
IDCliente_1984-FCOWB,1.0,1.0
IDCliente_7683-CBDKJ,1.0,1.0
IDCliente_4115-NZRKS,-1.0,1.0
IDCliente_1963-VAUKV,1.0,1.0
IDCliente_1963-SVUCV,1.0,1.0
IDCliente_1960-UYCNN,-1.0,1.0
IDCliente_7675-OZCZG,1.0,1.0
IDCliente_6719-OXYBR,-1.0,1.0
IDCliente_4123-DVHPH,-1.0,1.0
IDCliente_4090-KPJIP,-1.0,1.0
IDCliente_4083-EUGRJ,1.0,1.0
IDCliente_2080-GKCWQ,-1.0,1.0
